Node 0 : (138,89)	Node 1 : (111,14)	Node 2 : (185,131)
Node 3 : (93,190)	Node 4 : (145,71)	Node 5 : (176,189)
Node 6 : (185,57)	Node 7 : (93,163)	Node 8 : (161,161)
Node 9 : (53,35)	Node 10 : (130,43)	Node 11 : (132,177)
Node 12 : (91,15)	Node 13 : (187,158)	Node 14 : (145,197)
Node 15 : (129,108)	Node 16 : (54,9)	Node 17 : (0,152)
Node 18 : (34,142)	Node 19 : (116,188)	Node 20 : (199,123)
Node 21 : (119,166)	Node 22 : (126,39)	Node 23 : (103,120)
Node 24 : (199,98)	Node 25 : (177,68)	Node 26 : (101,161)
Node 27 : (30,12)	Node 28 : (0,149)	Node 29 : (51,52)
Node 30 : (36,89)	Node 31 : (111,189)	Node 32 : (167,166)
Node 33 : (198,78)	Node 34 : (184,174)	Node 35 : (107,48)
Node 36 : (187,57)	Node 37 : (122,23)	Node 38 : (177,134)
Node 39 : (26,120)	Node 40 : (108,58)	Node 41 : (113,180)
Node 42 : (136,126)	Node 43 : (66,40)	Node 44 : (100,0)
Node 45 : (114,181)	Node 46 : (8,145)	Node 47 : (57,114)
Node 48 : (97,150)
